time_in,side,entry,sl,tp,lots,exit_time,exit_price,pnl_usd,,reason,cap_after
2023-12-06 09:00:00,SELL,2025.285,2029.7075714285716,2016.4398571428571,0.0,198.2517857142857,2023-12-06 13:00:00,2029.7075714285716,-0.0,SL,198.25
2023-12-06 14:00:00,BUY,2030.13,2024.6252142857145,2041.1395714285716,0.0,198.2517857142857,2023-12-06 15:00:00,2024.6252142857145,-0.0,SL,198.25
2023-12-07 02:00:00,BUY,2026.203,2021.3134285714286,2035.982142857143,0.0,198.2517857142857,2023-12-07 05:00:00,2026.034,-0.0,Reversal,198.25
2023-12-07 07:00:00,BUY,2029.659,2026.594,2035.7890000000002,0.0,198.2517857142857,2023-12-07 13:00:00,2035.7890000000002,0.0,TP,198.25
2023-12-07 14:00:00,SELL,2037.198,2041.7420714285715,2028.1098571428574,0.0,198.2517857142857,2023-12-07 15:00:00,2028.1098571428574,0.0,TP,198.25
2023-12-07 17:00:00,SELL,2026.446,2031.7876428571428,2015.7627142857143,0.0,198.2517857142857,2023-12-07 18:00:00,2031.7876428571428,-0.0,SL,198.25
2023-12-08,BUY,2028.063,2022.8785714285716,2038.431857142857,0.0,198.2517857142857,2023-12-08 08:00:00,2030.81,0.0,Reversal,198.25
2023-12-08 10:00:00,BUY,2028.588,2025.5185,2034.7269999999999,0.0,198.2517857142857,2023-12-08 13:00:00,2025.5185,-0.0,SL,198.25
2023-12-08 14:00:00,SELL,2018.581,2023.4382142857141,2008.8665714285712,0.0,198.2517857142857,2023-12-08 15:00:00,2008.8665714285712,0.0,TP,198.25
2023-12-08 16:00:00,SELL,2008.866,2014.5087142857144,1997.5805714285714,0.0,198.2517857142857,2023-12-08 17:00:00,1997.5805714285714,0.0,TP,198.25
2023-12-10 23:00:00,BUY,2005.584,1999.4442142857142,2017.8635714285715,0.0,198.2517857142857,2023-12-11 02:00:00,1999.4442142857142,-0.0,SL,198.25
2023-12-11 03:00:00,SELL,1998.147,2004.619,1985.203,0.0,198.2517857142857,2023-12-11 15:00:00,1985.203,0.0,TP,198.25
2023-12-11 16:00:00,SELL,1982.357,1987.2530714285713,1972.5648571428571,0.0,198.2517857142857,2023-12-11 23:00:00,1982.048,0.0,Reversal,198.25
2023-12-12,BUY,1982.952,1978.344857142857,1992.1662857142858,0.0,198.2517857142857,2023-12-12 09:00:00,1983.739,0.0,Reversal,198.25
2023-12-12 13:00:00,BUY,1988.301,1984.2281428571428,1996.4467142857143,0.0,198.2517857142857,2023-12-12 14:00:00,1984.2281428571428,-0.0,SL,198.25
2023-12-12 16:00:00,SELL,1981.698,1986.207642857143,1972.6787142857142,0.0,198.2517857142857,2023-12-12 23:00:00,1980.537,0.0,Reversal,198.25
2023-12-13 02:00:00,SELL,1980.063,1984.1085714285714,1971.9718571428573,0.0,198.2517857142857,2023-12-13 07:00:00,1974.321,0.0,Reversal,198.25
2023-12-13 08:00:00,BUY,1979.265,1976.3793571428573,1985.036285714286,0.0,198.2517857142857,2023-12-13 13:00:00,1985.036285714286,0.0,TP,198.25
2023-12-13 15:00:00,SELL,1981.877,1985.5047142857143,1974.6215714285713,0.0,198.2517857142857,2023-12-13 19:00:00,1985.5047142857143,-0.0,SL,198.25
2023-12-13 20:00:00,BUY,2013.645,2007.0335714285713,2026.8678571428572,0.0,198.2517857142857,2023-12-13 21:00:00,2026.8678571428572,0.0,TP,198.25
2023-12-13 23:00:00,BUY,2024.699,2017.7648571428572,2038.5672857142858,0.0,198.2517857142857,2023-12-14,2038.5672857142858,0.0,TP,198.25
2023-12-14 07:00:00,SELL,2035.409,2043.4488571428572,2019.3292857142858,0.0,198.2517857142857,2023-12-14 08:00:00,2032.616,0.0,Reversal,198.25
2023-12-14 13:00:00,SELL,2038.815,2044.5827857142858,2027.2794285714288,0.0,198.2517857142857,2023-12-14 14:00:00,2044.5827857142858,-0.0,SL,198.25
2023-12-15 07:00:00,BUY,2036.052,2032.5237857142856,2043.1084285714285,0.0,198.2517857142857,2023-12-15 09:00:00,2043.1084285714285,0.0,TP,198.25
2023-12-15 10:00:00,BUY,2042.599,2039.4370714285715,2048.922857142857,0.0,198.2517857142857,2023-12-15 13:00:00,2039.4370714285715,-0.0,SL,198.25
2023-12-15 18:00:00,SELL,2032.739,2038.1052142857143,2022.0065714285715,0.0,198.2517857142857,2023-12-15 19:00:00,2022.0065714285715,0.0,TP,198.25
2023-12-18 01:00:00,BUY,2020.001,2014.2394285714286,2031.5241428571428,0.0,198.2517857142857,2023-12-18 10:00:00,2022.877,0.0,Reversal,198.25
2023-12-18 11:00:00,SELL,2019.295,2022.9640000000002,2011.957,0.0,198.2517857142857,2023-12-18 12:00:00,2022.9640000000002,-0.0,SL,198.25
